time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-14 00:00:00+00:00,1.0,1.0,,
2023-07-15 00:00:00+00:00,1.0,1.0,,
2023-07-19 00:00:00+00:00,,,1.0,1.0
2023-07-20 00:00:00+00:00,8.0,5.0,,
2023-07-21 00:00:00+00:00,1.0,1.0,3.0,1.0
2023-07-22 00:00:00+00:00,3.0,3.0,,
2023-07-23 00:00:00+00:00,1.0,1.0,,
2023-07-24 00:00:00+00:00,32.0,13.0,,
2023-07-25 00:00:00+00:00,5.0,4.0,,
2023-07-26 00:00:00+00:00,1.0,1.0,,
